"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 11 20:36:55 GMT 2023","Wed Oct 11 20:36:59 GMT 2023","4123","firefox","api.data.class.example.spec.ts","","","","API SignUp | Login UI",""
"passed","Wed Oct 11 20:36:42 GMT 2023","Wed Oct 11 20:36:43 GMT 2023","1879","chromium","api.data.example.spec.ts","","","","Login UI - Data From JSON",""
"passed","Wed Oct 11 20:36:36 GMT 2023","Wed Oct 11 20:36:38 GMT 2023","1411","chromium","api.data.class.example.spec.ts","","","","Login UI - Data From JSON",""
"passed","Wed Oct 11 20:37:26 GMT 2023","Wed Oct 11 20:37:27 GMT 2023","1060","firefox","ui.example.spec.ts","","","","basic test without POM",""
"passed","Wed Oct 11 20:36:44 GMT 2023","Wed Oct 11 20:36:46 GMT 2023","2690","chromium","api.ui.spec.ts","","","","API SignUp | Login UI",""
"passed","Wed Oct 11 20:37:15 GMT 2023","Wed Oct 11 20:37:17 GMT 2023","2169","firefox","api.ui.spec.ts","","","","API SignUp | Login UI",""
"passed","Wed Oct 11 20:37:18 GMT 2023","Wed Oct 11 20:37:26 GMT 2023","7346","firefox","api.ui.spec.ts","","","","API: SignUp, Create Task | UI: Login, Find a task",""
"failed","Wed Oct 11 20:36:40 GMT 2023","Wed Oct 11 20:36:41 GMT 2023","679","chromium","api.data.example.spec.ts","","","","API SignUp | Login UI",""
"skipped","Wed Oct 11 20:36:54 GMT 2023","Wed Oct 11 20:36:54 GMT 2023","35","firefox","a11y.lighthouse.spec.ts","","","","Accessibility test",""
"passed","Wed Oct 11 20:37:57 GMT 2023","Wed Oct 11 20:37:58 GMT 2023","1577","webkit","ui.example.spec.ts","","","","basic test without POM",""
"passed","Wed Oct 11 20:37:48 GMT 2023","Wed Oct 11 20:37:51 GMT 2023","3094","webkit","api.ui.spec.ts","","","","API SignUp | Login UI",""
"passed","Wed Oct 11 20:37:58 GMT 2023","Wed Oct 11 20:38:00 GMT 2023","1450","webkit","ui.example.spec.ts","","","","Get Started doc intro",""
"failed","Wed Oct 11 20:37:43 GMT 2023","Wed Oct 11 20:37:44 GMT 2023","1407","webkit","api.data.example.spec.ts","","","","API SignUp | Login UI",""
"failed","Wed Oct 11 20:37:07 GMT 2023","Wed Oct 11 20:37:10 GMT 2023","3595","firefox","api.data.example.spec.ts","","","","API SignUp | Login UI",""
"passed","Wed Oct 11 20:36:53 GMT 2023","Wed Oct 11 20:36:53 GMT 2023","827","chromium","ui.example.spec.ts","","","","Get Started doc intro",""
"passed","Wed Oct 11 20:36:24 GMT 2023","Wed Oct 11 20:36:33 GMT 2023","9412","chromium","a11y.lighthouse.spec.ts","","","","Accessibility test",""
"passed","Wed Oct 11 20:37:30 GMT 2023","Wed Oct 11 20:37:30 GMT 2023","133","webkit","api.basic.example.spec.ts","","","","get inventory",""
"passed","Wed Oct 11 20:36:33 GMT 2023","Wed Oct 11 20:36:36 GMT 2023","3001","chromium","api.data.class.example.spec.ts","","","","API SignUp | Login UI",""
"passed","Wed Oct 11 20:36:46 GMT 2023","Wed Oct 11 20:36:52 GMT 2023","5399","chromium","api.ui.spec.ts","","","","API: SignUp, Create Task | UI: Login, Find a task",""
"passed","Wed Oct 11 20:37:37 GMT 2023","Wed Oct 11 20:37:39 GMT 2023","2265","webkit","api.data.class.example.spec.ts","","","","Login UI - Data From JSON",""
"passed","Wed Oct 11 20:37:27 GMT 2023","Wed Oct 11 20:37:28 GMT 2023","1310","firefox","ui.example.spec.ts","","","","Get Started doc intro",""
"passed","Wed Oct 11 20:36:59 GMT 2023","Wed Oct 11 20:37:01 GMT 2023","1812","firefox","api.data.class.example.spec.ts","","","","Login UI - Data From JSON",""
"passed","Wed Oct 11 20:37:44 GMT 2023","Wed Oct 11 20:37:47 GMT 2023","2963","webkit","api.data.example.spec.ts","","","","Login UI - Data From JSON",""
"passed","Wed Oct 11 20:37:11 GMT 2023","Wed Oct 11 20:37:14 GMT 2023","3403","firefox","api.data.example.spec.ts","","","","Login UI - Data From JSON",""
"skipped","Wed Oct 11 20:37:30 GMT 2023","Wed Oct 11 20:37:30 GMT 2023","35","webkit","a11y.lighthouse.spec.ts","","","","Accessibility test",""
"passed","Wed Oct 11 20:36:33 GMT 2023","Wed Oct 11 20:36:33 GMT 2023","131","chromium","api.basic.example.spec.ts","","","","get inventory",""
"passed","Wed Oct 11 20:36:52 GMT 2023","Wed Oct 11 20:36:53 GMT 2023","816","chromium","ui.example.spec.ts","","","","basic test without POM",""
"passed","Wed Oct 11 20:37:30 GMT 2023","Wed Oct 11 20:37:37 GMT 2023","6778","webkit","api.data.class.example.spec.ts","","","","API SignUp | Login UI",""
"passed","Wed Oct 11 20:37:51 GMT 2023","Wed Oct 11 20:37:57 GMT 2023","6021","webkit","api.ui.spec.ts","","","","API: SignUp, Create Task | UI: Login, Find a task",""
"passed","Wed Oct 11 20:36:54 GMT 2023","Wed Oct 11 20:36:55 GMT 2023","121","firefox","api.basic.example.spec.ts","","","","get inventory",""
