"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 11 13:19:36 EDT 2023","Wed Oct 11 13:19:40 EDT 2023","4396","webkit","api.ui.spec.ts","","","","API SignUp | Login UI",""
"passed","Wed Oct 11 13:17:41 EDT 2023","Wed Oct 11 13:17:41 EDT 2023","419","chromium","api.basic.example.spec.ts","","","","get inventory",""
"passed","Wed Oct 11 13:19:38 EDT 2023","Wed Oct 11 13:19:39 EDT 2023","768","webkit","ui.example.spec.ts","","","","basic test without POM",""
"passed","Wed Oct 11 13:19:01 EDT 2023","Wed Oct 11 13:19:20 EDT 2023","19229","firefox","api.data.class.example.spec.ts","","","","API SignUp | Login UI",""
"passed","Wed Oct 11 13:19:25 EDT 2023","Wed Oct 11 13:19:27 EDT 2023","1813","firefox","ui.example.spec.ts","","","","basic test without POM",""
"passed","Wed Oct 11 13:19:39 EDT 2023","Wed Oct 11 13:19:40 EDT 2023","1126","webkit","ui.example.spec.ts","","","","Get Started doc intro",""
"failed","Wed Oct 11 13:17:49 EDT 2023","Wed Oct 11 13:17:50 EDT 2023","1067","chromium","api.data.example.spec.ts","","","","API SignUp | Login UI",""
"skipped","Wed Oct 11 13:17:57 EDT 2023","Wed Oct 11 13:17:57 EDT 2023","11","firefox","a11y.lighthouse.spec.ts","","","","Accessibility test",""
"passed","Wed Oct 11 13:17:55 EDT 2023","Wed Oct 11 13:17:56 EDT 2023","940","chromium","ui.example.spec.ts","","","","Get Started doc intro",""
"passed","Wed Oct 11 13:17:54 EDT 2023","Wed Oct 11 13:17:55 EDT 2023","1093","chromium","ui.example.spec.ts","","","","basic test without POM",""
"passed","Wed Oct 11 13:18:52 EDT 2023","Wed Oct 11 13:19:19 EDT 2023","27391","chromium","api.data.example.spec.ts","","","","Login UI - Data From JSON",""
"passed","Wed Oct 11 13:19:22 EDT 2023","Wed Oct 11 13:19:25 EDT 2023","3080","chromium","api.data.class.example.spec.ts","","","","Login UI - Data From JSON",""
"passed","Wed Oct 11 13:19:35 EDT 2023","Wed Oct 11 13:19:39 EDT 2023","4188","firefox","api.data.example.spec.ts","","","","Login UI - Data From JSON",""
"passed","Wed Oct 11 13:19:29 EDT 2023","Wed Oct 11 13:19:30 EDT 2023","394","webkit","api.basic.example.spec.ts","","","","get inventory",""
"passed","Wed Oct 11 13:19:22 EDT 2023","Wed Oct 11 13:19:30 EDT 2023","7753","chromium","api.ui.spec.ts","","","","API: SignUp, Create Task | UI: Login, Find a task",""
"passed","Wed Oct 11 13:19:30 EDT 2023","Wed Oct 11 13:19:35 EDT 2023","5412","webkit","api.data.class.example.spec.ts","","","","API SignUp | Login UI",""
"passed","Wed Oct 11 13:19:36 EDT 2023","Wed Oct 11 13:19:40 EDT 2023","3129","webkit","api.data.example.spec.ts","","","","Login UI - Data From JSON",""
"passed","Wed Oct 11 13:19:26 EDT 2023","Wed Oct 11 13:19:32 EDT 2023","5954","firefox","api.ui.spec.ts","","","","API: SignUp, Create Task | UI: Login, Find a task",""
"passed","Wed Oct 11 13:19:27 EDT 2023","Wed Oct 11 13:19:28 EDT 2023","885","firefox","ui.example.spec.ts","","","","Get Started doc intro",""
"passed","Wed Oct 11 13:19:40 EDT 2023","Wed Oct 11 13:19:46 EDT 2023","5744","webkit","api.ui.spec.ts","","","","API: SignUp, Create Task | UI: Login, Find a task",""
"passed","Wed Oct 11 13:19:16 EDT 2023","Wed Oct 11 13:19:22 EDT 2023","5513","chromium","api.data.class.example.spec.ts","","","","API SignUp | Login UI",""
"failed","Wed Oct 11 13:19:31 EDT 2023","Wed Oct 11 13:19:35 EDT 2023","3447","firefox","api.data.example.spec.ts","","","","API SignUp | Login UI",""
"passed","Wed Oct 11 13:19:35 EDT 2023","Wed Oct 11 13:19:38 EDT 2023","2898","webkit","api.data.class.example.spec.ts","","","","Login UI - Data From JSON",""
"passed","Wed Oct 11 13:19:16 EDT 2023","Wed Oct 11 13:19:22 EDT 2023","5897","chromium","api.ui.spec.ts","","","","API SignUp | Login UI",""
"passed","Wed Oct 11 13:17:57 EDT 2023","Wed Oct 11 13:17:57 EDT 2023","214","firefox","api.basic.example.spec.ts","","","","get inventory",""
"passed","Wed Oct 11 13:19:22 EDT 2023","Wed Oct 11 13:19:26 EDT 2023","3902","firefox","api.ui.spec.ts","","","","API SignUp | Login UI",""
"skipped","Wed Oct 11 13:19:29 EDT 2023","Wed Oct 11 13:19:29 EDT 2023","9","webkit","a11y.lighthouse.spec.ts","","","","Accessibility test",""
"passed","Wed Oct 11 13:17:41 EDT 2023","Wed Oct 11 13:17:54 EDT 2023","12982","chromium","a11y.lighthouse.spec.ts","","","","Accessibility test",""
"passed","Wed Oct 11 13:19:20 EDT 2023","Wed Oct 11 13:19:22 EDT 2023","2450","firefox","api.data.class.example.spec.ts","","","","Login UI - Data From JSON",""
"failed","Wed Oct 11 13:19:35 EDT 2023","Wed Oct 11 13:19:36 EDT 2023","949","webkit","api.data.example.spec.ts","","","","API SignUp | Login UI",""
